ts_recv,open,high,low,close,trades,volume
2023-06-01 15:00:00+00:00,37.15,37.34,37.0,37.21,15,37
2023-06-01 15:15:00+00:00,37.21,37.21,37.21,37.21,1,1
2023-06-01 15:30:00+00:00,37.13,37.89,37.13,37.89,8,38
2023-06-01 15:45:00+00:00,37.6,37.97,37.55,37.55,11,39
2023-06-01 16:00:00+00:00,37.66,37.93,37.66,37.93,4,10
2023-06-02 13:30:00+00:00,37.76,37.76,37.76,37.76,1,1
2023-06-02 14:00:00+00:00,37.77,37.77,36.93,37.16,18,110
2023-06-02 14:15:00+00:00,37.0,37.15,37.0,37.01,11,25
2023-06-02 14:30:00+00:00,37.15,37.48,37.01,37.48,5,5
2023-06-02 14:45:00+00:00,37.01,37.04,37.01,37.04,2,2
2023-06-02 15:30:00+00:00,36.85,36.89,36.85,36.89,2,18
2023-06-02 15:45:00+00:00,36.9,37.13,36.89,36.93,11,17
2023-06-02 16:00:00+00:00,36.77,36.89,36.77,36.79,3,19
2023-06-05 14:15:00+00:00,37.0,37.0,37.0,37.0,3,9
2023-06-05 14:30:00+00:00,36.99,36.99,36.96,36.96,3,22
2023-06-05 14:45:00+00:00,36.71,36.71,36.71,36.71,1,1
2023-06-05 15:00:00+00:00,36.53,36.74,36.52,36.74,4,8
2023-06-05 15:15:00+00:00,36.7,36.73,36.7,36.73,2,20
2023-06-05 15:45:00+00:00,36.22,36.4,36.22,36.36,3,4
2023-06-06 13:45:00+00:00,36.35,36.36,36.35,36.36,2,2
2023-06-06 14:00:00+00:00,36.68,36.68,36.68,36.68,1,2
2023-06-06 14:45:00+00:00,36.4,36.4,36.4,36.4,1,3
2023-06-06 15:00:00+00:00,36.5,36.5,36.46,36.46,19,77
2023-06-06 15:15:00+00:00,36.46,36.46,36.46,36.46,3,3
2023-06-06 15:30:00+00:00,36.56,36.56,36.46,36.46,9,20
2023-06-06 15:45:00+00:00,36.46,36.55,36.45,36.53,11,25
2023-06-07 13:30:00+00:00,36.7,36.7,36.7,36.7,1,1
2023-06-07 13:45:00+00:00,36.93,36.93,36.93,36.93,1,2
2023-06-07 14:00:00+00:00,37.01,37.01,37.01,37.01,1,30
2023-06-07 14:15:00+00:00,36.7,36.7,36.7,36.7,12,14
2023-06-07 14:30:00+00:00,36.9,36.9,36.34,36.6,12,42
2023-06-07 14:45:00+00:00,36.58,36.7,36.58,36.7,6,13
2023-06-07 15:00:00+00:00,36.7,36.7,36.7,36.7,5,5
2023-06-07 15:15:00+00:00,36.7,36.7,36.7,36.7,2,12
2023-06-07 15:30:00+00:00,36.7,36.7,36.7,36.7,1,1
2023-06-07 15:45:00+00:00,36.7,36.7,36.7,36.7,7,12
2023-06-07 16:00:00+00:00,36.7,36.7,36.69,36.7,9,45
2023-06-08 14:00:00+00:00,36.28,36.28,36.24,36.24,3,11
2023-06-08 14:30:00+00:00,36.28,36.44,36.28,36.44,5,5
2023-06-08 14:45:00+00:00,36.26,36.55,36.26,36.55,3,6
2023-06-08 15:00:00+00:00,36.26,36.31,36.25,36.25,7,124
2023-06-08 15:15:00+00:00,36.25,36.45,36.25,36.37,29,124
2023-06-08 15:30:00+00:00,36.37,36.37,36.24,36.24,7,17
2023-06-08 15:45:00+00:00,36.24,36.24,36.24,36.24,1,5
2023-06-09 13:45:00+00:00,36.43,36.65,36.43,36.44,11,194
2023-06-09 14:00:00+00:00,36.48,36.53,36.4,36.5,8,21
2023-06-09 14:15:00+00:00,36.42,36.42,36.37,36.37,2,2
2023-06-09 14:30:00+00:00,36.38,36.38,36.25,36.25,2,11
2023-06-09 15:15:00+00:00,36.05,36.05,35.89,35.89,2,2
2023-06-09 15:30:00+00:00,35.75,35.75,35.75,35.75,2,20
2023-06-12 13:45:00+00:00,36.23,36.23,36.23,36.23,1,1
2023-06-12 14:00:00+00:00,35.66,35.66,35.66,35.66,1,1
2023-06-12 14:15:00+00:00,35.66,35.67,35.66,35.66,4,12
2023-06-12 14:30:00+00:00,35.61,35.61,35.61,35.61,1,3
2023-06-12 14:45:00+00:00,35.61,35.61,35.61,35.61,1,1
2023-06-12 15:00:00+00:00,35.6,35.66,35.6,35.66,5,13
2023-06-12 15:15:00+00:00,35.64,35.66,35.64,35.66,3,3
2023-06-12 15:30:00+00:00,35.69,35.69,35.69,35.69,1,2
2023-06-12 15:45:00+00:00,35.59,35.59,35.35,35.35,6,9
2023-06-12 16:00:00+00:00,35.35,35.35,35.35,35.35,2,4
2023-06-13 13:45:00+00:00,35.5,35.5,35.5,35.5,2,8
2023-06-13 14:00:00+00:00,35.78,35.78,35.25,35.33,6,28
2023-06-13 14:45:00+00:00,35.65,35.65,35.65,35.65,1,2
2023-06-13 15:00:00+00:00,35.65,35.65,35.65,35.65,1,1
2023-06-13 15:15:00+00:00,35.55,35.55,35.55,35.55,1,2
2023-06-13 15:30:00+00:00,35.55,35.75,35.45,35.45,7,61
2023-06-13 15:45:00+00:00,35.41,35.41,35.29,35.29,6,24
2023-06-14 13:45:00+00:00,35.99,35.99,35.57,35.57,2,10
2023-06-14 14:00:00+00:00,35.58,35.58,35.58,35.58,1,8
2023-06-14 14:15:00+00:00,35.58,35.6,35.58,35.6,3,21
2023-06-14 14:30:00+00:00,35.91,35.91,35.68,35.68,10,47
2023-06-14 14:45:00+00:00,35.6,35.75,35.56,35.75,6,17
2023-06-14 15:00:00+00:00,35.62,36.01,35.62,36.01,5,28
2023-06-14 15:15:00+00:00,35.82,35.82,35.67,35.67,6,27
2023-06-14 15:30:00+00:00,35.6,35.6,35.6,35.6,1,2
2023-06-14 15:45:00+00:00,35.61,35.61,35.61,35.61,1,21
2023-06-14 16:00:00+00:00,35.61,35.64,35.61,35.64,2,3
2023-06-15 15:15:00+00:00,35.84,35.84,35.63,35.63,3,3
2023-06-15 15:30:00+00:00,35.65,35.65,35.65,35.65,1,1
2023-06-15 15:45:00+00:00,35.6,35.6,35.6,35.6,1,1
2023-06-16 13:45:00+00:00,35.91,35.91,35.91,35.91,1,7
2023-06-16 14:15:00+00:00,36.37,36.37,36.37,36.37,1,1
2023-06-16 15:00:00+00:00,35.83,35.83,35.83,35.83,3,8
2023-06-16 15:45:00+00:00,36.05,36.05,36.05,36.05,1,1
2023-06-20 14:00:00+00:00,35.57,35.57,35.57,35.57,1,5
2023-06-20 14:15:00+00:00,35.57,35.57,35.57,35.57,3,49
2023-06-20 14:30:00+00:00,35.59,35.59,35.59,35.59,2,10
2023-06-20 14:45:00+00:00,35.63,35.98,35.63,35.63,13,115
2023-06-20 15:15:00+00:00,35.76,35.76,35.745,35.745,5,124
2023-06-20 15:30:00+00:00,35.63,35.78,35.63,35.78,2,25
2023-06-21 14:30:00+00:00,35.16,35.16,35.16,35.16,1,11
2023-06-21 14:45:00+00:00,35.06,35.06,35.06,35.06,1,10
2023-06-21 15:00:00+00:00,35.2,35.25,35.16,35.16,3,14
2023-06-21 15:15:00+00:00,35.16,35.21,35.16,35.21,4,40
2023-06-21 15:30:00+00:00,35.21,35.26,35.21,35.26,3,9
2023-06-21 15:45:00+00:00,35.27,35.47,35.07,35.24,9,125
2023-06-22 13:30:00+00:00,35.3,35.3,35.3,35.3,1,2
2023-06-22 14:00:00+00:00,35.3,35.47,35.3,35.47,2,6
2023-06-22 14:15:00+00:00,35.44,35.44,35.44,35.44,1,1
2023-06-22 14:45:00+00:00,34.93,34.93,34.9,34.9,2,17
2023-06-22 15:00:00+00:00,35.09,35.1,34.99,35.07,11,135
2023-06-22 15:15:00+00:00,35.09,35.14,35.09,35.14,10,36
2023-06-22 16:00:00+00:00,34.9,35.05,34.9,35.05,2,18
2023-06-23 14:30:00+00:00,34.825,34.825,34.825,34.825,1,27
2023-06-23 14:45:00+00:00,34.72,34.72,34.72,34.72,1,5
2023-06-23 15:15:00+00:00,34.72,34.72,34.72,34.72,1,5
2023-06-23 15:30:00+00:00,34.76,34.76,34.76,34.76,1,27
2023-06-26 13:30:00+00:00,35.22,35.22,35.01,35.01,6,612
2023-06-26 13:45:00+00:00,34.59,34.71,34.59,34.6,4,15
2023-06-26 14:00:00+00:00,34.6,34.65,34.6,34.65,6,38
2023-06-26 14:15:00+00:00,34.65,34.65,34.65,34.65,1,5
2023-06-26 14:30:00+00:00,34.5,34.5,34.41,34.41,3,8
2023-06-26 14:45:00+00:00,34.38,34.44,34.38,34.44,4,53
2023-06-26 15:30:00+00:00,34.39,34.39,34.39,34.39,1,3
2023-06-26 16:00:00+00:00,34.63,34.68,34.57,34.57,8,53
2023-06-27 13:30:00+00:00,35.07,35.07,35.07,35.07,1,1
2023-06-27 14:30:00+00:00,34.59,34.64,34.59,34.64,3,3
2023-06-27 15:00:00+00:00,35.11,35.11,35.11,35.11,1,2
2023-06-27 15:30:00+00:00,35.2,35.2,35.2,35.2,2,2
2023-06-27 15:45:00+00:00,35.18,35.18,35.12,35.12,2,22
2023-06-27 16:00:00+00:00,35.19,35.19,35.08,35.09,4,10
2023-06-28 13:30:00+00:00,35.18,35.18,35.18,35.18,1,1
2023-06-28 13:45:00+00:00,35.36,35.36,35.36,35.36,3,30
2023-06-28 14:30:00+00:00,35.22,35.22,35.22,35.22,1,1
2023-06-28 14:45:00+00:00,35.29,35.29,35.29,35.29,1,1
2023-06-28 15:30:00+00:00,35.27,35.27,35.27,35.27,1,7
2023-06-29 14:45:00+00:00,35.43,35.43,35.43,35.43,1,2
2023-06-30 15:30:00+00:00,35.44,35.44,35.44,35.44,1,2
2023-06-30 15:45:00+00:00,35.44,35.63,35.44,35.63,2,3
2023-07-05 13:45:00+00:00,35.51,35.51,35.15,35.15,2,2
2023-07-05 14:15:00+00:00,35.18,35.18,35.18,35.18,1,1
2023-07-05 14:30:00+00:00,35.24,35.24,35.24,35.24,1,1
2023-07-05 14:45:00+00:00,34.53,35.04,34.53,35.04,2,11
2023-07-05 15:00:00+00:00,34.94,34.94,34.9,34.9,2,2
2023-07-05 15:15:00+00:00,34.85,34.85,34.8,34.8,4,4
2023-07-05 15:45:00+00:00,35.1,35.1,35.1,35.1,3,3
2023-07-05 16:00:00+00:00,35.1,35.24,34.54,35.2,8,47
2023-07-06 13:45:00+00:00,34.42,34.42,34.42,34.42,1,1
2023-07-06 14:15:00+00:00,34.42,34.48,34.42,34.48,2,2
2023-07-06 15:00:00+00:00,34.77,34.77,34.77,34.77,1,6
2023-07-06 15:15:00+00:00,34.77,34.77,34.77,34.77,1,1
2023-07-07 15:45:00+00:00,34.8,34.8,34.8,34.8,1,3
2023-07-07 16:00:00+00:00,34.81,34.81,34.81,34.81,1,5
2023-07-12 13:30:00+00:00,36.1,36.1,36.1,36.1,1,1
2023-07-12 13:45:00+00:00,36.1,36.1,36.1,36.1,1,2
2023-07-12 14:00:00+00:00,35.995,36.02,35.995,36.02,2,20
2023-07-12 14:30:00+00:00,36.02,36.05,36.02,36.05,2,4
2023-07-12 15:00:00+00:00,36.06,36.06,36.05,36.05,6,18
2023-07-12 15:30:00+00:00,35.82,35.82,35.82,35.82,2,2
2023-07-14 14:00:00+00:00,36.72,36.9,36.72,36.9,3,103
2023-07-14 14:30:00+00:00,37.16,37.16,37.16,37.16,2,78
2023-07-17 14:45:00+00:00,36.6,36.6,36.6,36.6,1,1
2023-07-17 15:00:00+00:00,36.54,36.54,36.54,36.54,1,1
2023-07-19 15:45:00+00:00,36.82,36.82,36.82,36.82,1,1
2023-07-20 15:15:00+00:00,36.9,36.9,36.57,36.57,2,13
2023-07-21 13:45:00+00:00,36.75,36.75,36.75,36.75,1,11
2023-07-21 14:00:00+00:00,36.75,36.75,36.75,36.75,1,9
2023-07-24 16:00:00+00:00,36.79,36.89,36.79,36.89,5,190
2023-07-26 13:45:00+00:00,37.11,37.11,37.1,37.1,2,86
2023-07-27 15:15:00+00:00,37.12,37.12,37.12,37.12,1,1
2023-07-28 14:15:00+00:00,37.5,37.8,37.5,37.8,4,87
2023-07-28 14:30:00+00:00,37.96,37.96,37.96,37.96,1,1
2023-07-28 14:45:00+00:00,38.15,38.15,37.8,37.85,16,486
2023-07-28 15:00:00+00:00,37.85,37.85,36.45,36.45,12,345
2023-07-31 14:30:00+00:00,37.1,37.1,36.9,37.0,8,400
2023-07-31 14:45:00+00:00,37.0,37.195,37.0,37.14,4,224
2023-07-31 15:00:00+00:00,37.2,37.2,37.2,37.2,1,100
2023-08-01 13:45:00+00:00,37.6,37.6,37.6,37.6,3,100
2023-08-01 15:30:00+00:00,37.145,37.145,37.04,37.04,4,102
2023-08-01 15:45:00+00:00,37.14,37.14,37.14,37.14,1,1
2023-08-02 13:30:00+00:00,37.5,37.5,37.48,37.48,3,46
2023-08-02 14:00:00+00:00,37.2,37.2,37.2,37.2,3,10
2023-08-02 14:45:00+00:00,37.38,37.38,37.38,37.38,1,4
2023-08-04 13:45:00+00:00,37.0,37.0,37.0,37.0,3,3
2023-08-04 14:30:00+00:00,37.0,37.0,37.0,37.0,1,22
2023-08-04 14:45:00+00:00,36.85,36.85,36.85,36.85,2,2
2023-08-04 15:00:00+00:00,37.0,37.0,37.0,37.0,3,6
2023-08-07 16:00:00+00:00,36.72,36.72,36.72,36.72,1,1
2023-08-08 13:30:00+00:00,37.0,37.0,37.0,37.0,2,100
2023-08-08 15:00:00+00:00,36.5,36.5,36.47,36.47,4,102
2023-08-09 14:00:00+00:00,36.93,36.93,36.93,36.93,1,1
2023-08-09 16:00:00+00:00,36.79,37.0,36.75,37.0,21,885
2023-08-10 15:00:00+00:00,37.15,37.4,37.1,37.4,6,15
2023-08-11 13:30:00+00:00,37.01,37.01,37.01,37.01,1,75
2023-08-11 13:45:00+00:00,37.02,37.15,37.0,37.0,17,805
2023-08-11 15:30:00+00:00,37.06,37.06,37.06,37.06,1,6
2023-08-14 13:30:00+00:00,37.56,37.56,37.56,37.56,1,20
2023-08-14 16:00:00+00:00,35.9,36.9,35.9,36.9,9,306
2023-08-15 13:30:00+00:00,37.25,37.25,37.25,37.25,1,1
2023-08-15 14:00:00+00:00,36.51,36.51,36.51,36.51,1,1
2023-08-15 14:15:00+00:00,36.52,36.6,36.52,36.55,5,20
2023-08-15 14:30:00+00:00,36.57,36.57,36.43,36.43,3,40
2023-08-16 13:45:00+00:00,36.75,36.96,36.69,36.69,4,58
2023-08-16 16:00:00+00:00,36.3,36.3,36.19,36.19,2,14
2023-08-17 13:30:00+00:00,36.55,36.56,36.5,36.5,15,442
2023-08-17 14:00:00+00:00,36.08,36.1,36.08,36.1,2,20
2023-08-17 14:15:00+00:00,36.16,36.23,36.16,36.23,4,40
2023-08-17 14:30:00+00:00,36.24,36.3,36.24,36.3,7,104
2023-08-17 14:45:00+00:00,36.26,36.26,35.9,36.18,7,26
2023-08-17 15:00:00+00:00,36.0,36.0,36.0,36.0,2,65
2023-08-18 13:30:00+00:00,36.25,36.28,36.01,36.28,17,656
2023-08-18 13:45:00+00:00,36.26,36.26,35.8,35.88,7,222
2023-08-18 14:30:00+00:00,36.0,36.0,36.0,36.0,1,4
2023-08-21 14:00:00+00:00,35.75,35.85,35.75,35.85,7,672
2023-08-21 14:30:00+00:00,35.83,35.83,35.83,35.83,1,5
2023-08-22 13:30:00+00:00,37.0,37.0,37.0,37.0,1,100
2023-08-23 13:45:00+00:00,37.95,37.95,37.65,37.65,5,334
2023-08-23 14:00:00+00:00,37.16,37.5,37.16,37.5,2,101
2023-08-23 14:30:00+00:00,37.6,37.6,37.6,37.6,3,100
2023-08-23 15:00:00+00:00,37.5,37.5,37.5,37.5,3,100
2023-08-24 13:30:00+00:00,37.28,38.14,37.28,37.5,15,582
2023-08-24 13:45:00+00:00,37.35,37.6,37.35,37.6,9,465
2023-08-24 14:00:00+00:00,37.64,38.3,37.64,38.3,3,13
2023-08-24 15:00:00+00:00,37.71,37.71,37.4,37.4,2,75
2023-08-24 15:15:00+00:00,37.4,37.4,37.4,37.4,1,48
2023-08-24 15:45:00+00:00,37.5,37.5,37.41,37.41,3,4
2023-08-24 16:00:00+00:00,37.41,37.41,37.41,37.41,3,39
2023-08-25 13:30:00+00:00,37.2,37.3,37.05,37.07,40,1981
2023-08-25 13:45:00+00:00,37.06,37.06,37.01,37.02,6,268
2023-08-25 14:00:00+00:00,37.31,37.31,37.01,37.01,2,2
2023-08-25 14:15:00+00:00,37.01,37.01,37.01,37.01,1,4
2023-08-25 15:00:00+00:00,37.01,37.01,37.01,37.01,3,17
2023-08-25 15:15:00+00:00,37.01,37.01,37.01,37.01,1,3
2023-08-25 15:30:00+00:00,37.02,37.31,37.01,37.31,3,123
2023-08-25 16:00:00+00:00,37.01,37.01,37.01,37.01,1,2
2023-08-28 13:30:00+00:00,37.6,37.6,37.6,37.6,1,10
2023-08-28 13:45:00+00:00,37.34,37.34,36.75,36.77,20,1061
2023-08-28 14:00:00+00:00,36.9,37.11,36.9,37.07,23,1499
2023-08-28 14:15:00+00:00,37.07,37.07,37.07,37.07,2,70
2023-08-28 15:00:00+00:00,37.08,37.08,37.08,37.08,1,1
2023-08-28 15:15:00+00:00,37.08,37.08,37.07,37.07,3,121
2023-08-28 15:45:00+00:00,37.05,37.05,36.9,36.9,8,485
2023-08-29 13:30:00+00:00,36.53,37.24,36.53,37.18,15,977
2023-08-29 14:00:00+00:00,37.15,37.15,37.15,37.15,1,1
2023-08-29 14:15:00+00:00,37.3,37.3,37.3,37.3,1,3
2023-08-29 14:30:00+00:00,37.3,37.3,37.3,37.3,2,4
2023-08-29 14:45:00+00:00,37.25,37.25,37.24,37.25,4,101
2023-08-29 15:00:00+00:00,37.24,37.74,37.21,37.74,8,123
2023-08-29 15:15:00+00:00,37.7,37.7,37.5,37.5,4,7
2023-08-29 15:30:00+00:00,37.51,37.51,37.51,37.51,1,8
2023-08-30 13:45:00+00:00,37.7,37.7,37.5,37.51,4,129
2023-08-30 14:15:00+00:00,37.51,37.55,37.51,37.55,3,126
2023-08-30 14:30:00+00:00,37.65,37.65,37.52,37.52,14,565
2023-08-30 15:15:00+00:00,37.5,37.5,37.5,37.5,1,1
2023-08-30 16:00:00+00:00,37.22,37.22,37.22,37.22,1,1
2023-08-31 13:30:00+00:00,37.5,37.6,37.45,37.6,5,435
2023-08-31 14:15:00+00:00,37.8,37.8,37.46,37.51,4,106
2023-08-31 14:30:00+00:00,37.51,37.6,37.45,37.45,15,625
2023-08-31 14:45:00+00:00,37.5,37.5,37.48,37.48,9,23
2023-08-31 15:00:00+00:00,37.5,37.5,37.5,37.5,1,7
2023-09-01 13:30:00+00:00,38.0,38.2,37.0,37.14,4,103
2023-09-01 14:00:00+00:00,37.3,37.32,37.3,37.32,2,2
2023-09-01 15:00:00+00:00,36.41,36.8,36.41,36.8,6,901
2023-09-05 14:00:00+00:00,36.7,36.71,36.7,36.71,2,13
